Position,From,To,Academic Connection,Country Connection,Music Connection,Sports Connection,Movie Connection
89,2,4,,,,,
90,2,5,,,,,
91,2,6,,,,,
92,2,7,,,,,
93,2,8,,,,,
94,2,9,,,,,
95,2,10,,,,,
96,2,11,,,,,
97,2,12,,,,,
98,2,13,,,,,
99,2,14,,,,,
100,2,15,,,,,
101,2,16,,,,,
102,2,17,,,,,
103,2,18,,,,,
104,2,19,,,,,
105,2,20,,,,,
106,2,21,,,,,
107,2,22,,,,,
108,2,23,,,,,
109,2,24,,,,,
110,2,25,,,,,
111,2,26,,,,,
112,2,27,,,,,
113,2,28,,,,,
114,2,29,,,,,
115,2,30,,,,,
116,2,31,,,,,
117,2,32,,,,,
118,2,33,,,,,
119,2,34,,,,,
120,2,35,,,,,
121,2,36,,,,,
122,2,37,,,,,
123,2,38,,,,,
124,2,39,,,,,
125,2,40,,,,,
126,2,41,,,,,
127,2,42,,,,,
128,2,43,,,,,
129,2,44,,,,,
130,2,45,,,,,
131,2,46,,,,,
132,2,47,,,,,
133,2,48,,,,,
134,2,49,,,,,
135,2,50,,,,,
136,2,51,,,,,
137,2,52,,,,,
138,2,53,,,,,
139,2,54,,,,,
140,2,55,,,,,
141,2,56,,,,,
142,2,57,,,,,
143,2,58,,,,,
144,2,59,,,,,
145,2,60,,,,,
146,2,61,,,,,
147,2,62,,,,,
148,2,63,,,,,
149,2,64,,,,,
150,2,65,,,,,
151,2,66,,,,,
152,2,67,,,,,
153,2,68,,,,,
154,2,69,,,,,
155,2,70,,,,,
156,2,71,,,,,
157,2,72,,,,,
158,2,73,,,,,
159,2,74,,,,,
160,2,75,,,,,
161,2,76,,,,,
162,2,77,,,,,
163,2,78,,,,,
164,2,79,,,,,
165,2,80,,,,,
166,2,81,,,,,
167,2,82,,,,,
168,2,83,,,,,
169,2,84,,,,,
170,2,85,,,,,
171,3,1,,,,,
172,3,2,,,,,
173,3,3,,,,,
174,3,4,,,,,
175,3,5,,,,,
176,3,6,,,,,
177,3,7,,,,,
178,3,8,,,,,
179,3,9,,,,,
180,3,10,,,,,
181,3,11,,,,,
182,3,12,,,,,
183,3,13,,,,,
184,3,14,,,,,
185,3,15,,,,,
186,3,16,,,,,
187,3,17,,,,,
188,3,18,,,,,
189,3,19,,,,,
190,3,20,,,,,
191,3,21,,,,,
192,3,22,,,,,
193,3,23,,,,,
194,3,24,,,,,
195,3,25,,,,,
196,3,26,,,,,
197,3,27,,,,,
198,3,28,,,,,
199,3,29,,,,,
200,3,30,,,,,
201,3,31,,,,,
202,3,32,,,,,
203,3,33,,,,,
204,3,34,,,,,
205,3,35,,,,,
206,3,36,,,,,
207,3,37,,,,,
208,3,38,,,,,
209,3,39,,,,,
210,3,40,,,,,
211,3,41,,,,,
212,3,42,,,,,
213,3,43,,,,,
214,3,44,,,,,
215,3,45,,,,,
216,3,46,,,,,
217,3,47,,,,,
218,3,48,,,,,
219,3,49,,,,,
220,3,50,,,,,
221,3,51,,,,,
222,3,52,,,,,
223,3,53,,,,,
224,3,54,,,,,
225,3,55,,,,,
226,3,56,,,,,
227,3,57,,,,,
228,3,58,,,,,
229,3,59,,,,,
230,3,60,,,,,
231,3,61,,,,,
232,3,62,,,,,
233,3,63,,,,,
234,3,64,,,,,
235,3,65,,,,,
236,3,66,,,,,
237,3,67,,,,,
238,3,68,,,,,
239,3,69,,,,,
240,3,70,,,,,
241,3,71,,,,,
242,3,72,,,,,
243,3,73,,,,,
244,3,74,,,,,
245,3,75,,,,,
246,3,76,,,,,
247,3,77,,,,,
248,3,78,,,,,
249,3,79,,,,,
250,3,80,,,,,
251,3,81,,,,,
252,3,82,,,,,
253,3,83,,,,,
254,3,84,,,,,
255,3,85,,,,,
256,4,1,,,,,
257,4,2,,,,,
258,4,3,,,,,
259,4,4,,,,,
260,4,5,,,,,
261,4,6,,,,,
262,4,7,,,,,
263,4,8,,,,,
264,4,9,,,,,
265,4,10,,,,,
266,4,11,,,,,
267,4,12,,,,,
268,4,13,,,,,
269,4,14,,,,,
270,4,15,,,,,
271,4,16,,,,,
272,4,17,,,,,
273,4,18,,,,,
274,4,19,,,,,
275,4,20,,,,,
276,4,21,,,,,
277,4,22,,,,,
278,4,23,,,,,
279,4,24,,,,,
280,4,25,,,,,
281,4,26,,,,,
282,4,27,,,,,
283,4,28,,,,,
284,4,29,,,,,
285,4,30,,,,,
286,4,31,,,,,
287,4,32,,,,,
288,4,33,,,,,
289,4,34,,,,,
290,4,35,,,,,
291,4,36,,,,,
292,4,37,,,,,
293,4,38,,,,,
294,4,39,,,,,
295,4,40,,,,,
296,4,41,,,,,
297,4,42,,,,,
298,4,43,,,,,
299,4,44,,,,,
300,4,45,,,,,
301,4,46,,,,,
302,4,47,,,,,
303,4,48,,,,,
304,4,49,,,,,
305,4,50,,,,,
306,4,51,,,,,
307,4,52,,,,,
308,4,53,,,,,
309,4,54,,,,,
310,4,55,,,,,
311,4,56,,,,,
312,4,57,,,,,
313,4,58,,,,,
314,4,59,,,,,
315,4,60,,,,,
316,4,61,,,,,
317,4,62,,,,,
318,4,63,,,,,
319,4,64,,,,,
320,4,65,,,,,
321,4,66,,,,,
322,4,67,,,,,
323,4,68,,,,,
324,4,69,,,,,
325,4,70,,,,,
326,4,71,,,,,
327,4,72,,,,,
328,4,73,,,,,
329,4,74,,,,,
330,4,75,,,,,
331,4,76,,,,,
332,4,77,,,,,
333,4,78,,,,,
334,4,79,,,,,
335,4,80,,,,,
336,4,81,,,,,
337,4,82,,,,,
338,4,83,,,,,
339,4,84,,,,,
340,4,85,,,,,
341,5,1,,,,,
342,5,2,,,,,
343,5,3,,,,,
344,5,4,,,,,
345,5,5,,,,,
346,5,6,,,,,
347,5,7,,,,,
348,5,8,,,,,
349,5,9,,,,,
350,5,10,,,,,
351,5,11,,,,,
352,5,12,,,,,
353,5,13,,,,,
354,5,14,,,,,
355,5,15,,,,,
356,5,16,,,,,
357,5,17,,,,,
358,5,18,,,,,
359,5,19,,,,,
360,5,20,,,,,
361,5,21,,,,,
362,5,22,,,,,
363,5,23,,,,,
364,5,24,,,,,
365,5,25,,,,,
366,5,26,,,,,
367,5,27,,,,,
368,5,28,,,,,
369,5,29,,,,,
370,5,30,,,,,
371,5,31,,,,,
372,5,32,,,,,
373,5,33,,,,,
374,5,34,,,,,
375,5,35,,,,,
376,5,36,,,,,
377,5,37,,,,,
378,5,38,,,,,
379,5,39,,,,,
380,5,40,,,,,
381,5,41,,,,,
382,5,42,,,,,
383,5,43,,,,,
384,5,44,,,,,
385,5,45,,,,,
386,5,46,,,,,
387,5,47,,,,,
388,5,48,,,,,
389,5,49,,,,,
390,5,50,,,,,
391,5,51,,,,,
392,5,52,,,,,
393,5,53,,,,,
394,5,54,,,,,
395,5,55,,,,,
396,5,56,,,,,
397,5,57,,,,,
398,5,58,,,,,
399,5,59,,,,,
400,5,60,,,,,
401,5,61,,,,,
402,5,62,,,,,
403,5,63,,,,,
404,5,64,,,,,
405,5,65,,,,,
406,5,66,,,,,
407,5,67,,,,,
408,5,68,,,,,
409,5,69,,,,,
410,5,70,,,,,
411,5,71,,,,,
412,5,72,,,,,
413,5,73,,,,,
414,5,74,,,,,
415,5,75,,,,,
416,5,76,,,,,
417,5,77,,,,,
418,5,78,,,,,
419,5,79,,,,,
420,5,80,,,,,
421,5,81,,,,,
422,5,82,,,,,
423,5,83,,,,,
424,5,84,,,,,
425,5,85,,,,,
426,6,1,,,,,
427,6,2,,,,,
428,6,3,,,,,
429,6,4,,,,,
430,6,5,,,,,
431,6,6,,,,,
432,6,7,,,,,
433,6,8,,,,,
434,6,9,,,,,
435,6,10,,,,,
436,6,11,,,,,
437,6,12,,,,,
438,6,13,,,,,
439,6,14,,,,,
440,6,15,,,,,
441,6,16,,,,,
442,6,17,,,,,
443,6,18,,,,,
444,6,19,,,,,
445,6,20,,,,,
446,6,21,,,,,
447,6,22,,,,,
448,6,23,,,,,
449,6,24,,,,,
450,6,25,,,,,
451,6,26,,,,,
452,6,27,,,,,
453,6,28,,,,,
454,6,29,,,,,
455,6,30,,,,,
456,6,31,,,,,
457,6,32,,,,,
458,6,33,,,,,
459,6,34,,,,,
460,6,35,,,,,
461,6,36,,,,,
462,6,37,,,,,
463,6,38,,,,,
464,6,39,,,,,
465,6,40,,,,,
466,6,41,,,,,
467,6,42,,,,,
468,6,43,,,,,
469,6,44,,,,,
470,6,45,,,,,
471,6,46,,,,,
472,6,47,,,,,
473,6,48,,,,,
474,6,49,,,,,
475,6,50,,,,,
476,6,51,,,,,
477,6,52,,,,,
478,6,53,,,,,
479,6,54,,,,,
480,6,55,,,,,
481,6,56,,,,,
482,6,57,,,,,
483,6,58,,,,,
484,6,59,,,,,
485,6,60,,,,,
486,6,61,,,,,
487,6,62,,,,,
488,6,63,,,,,
489,6,64,,,,,
490,6,65,,,,,
491,6,66,,,,,
492,6,67,,,,,
493,6,68,,,,,
494,6,69,,,,,
495,6,70,,,,,
496,6,71,,,,,
497,6,72,,,,,
498,6,73,,,,,
499,6,74,,,,,
500,6,75,,,,,
501,6,76,,,,,
502,6,77,,,,,
503,6,78,,,,,
504,6,79,,,,,
505,6,80,,,,,
506,6,81,,,,,
507,6,82,,,,,
508,6,83,,,,,
509,6,84,,,,,
510,6,85,,,,,
511,7,1,,,,,
512,7,2,,,,,
513,7,3,,,,,
514,7,4,,,,,
515,7,5,,,,,
516,7,6,,,,,
517,7,7,,,,,
518,7,8,,,,,
519,7,9,,,,,
520,7,10,,,,,
521,7,11,,,,,
522,7,12,,,,,
523,7,13,,,,,
524,7,14,,,,,
525,7,15,,,,,
526,7,16,,,,,
527,7,17,,,,,
528,7,18,,,,,
529,7,19,,,,,
530,7,20,,,,,
531,7,21,,,,,
532,7,22,,,,,
533,7,23,,,,,
534,7,24,,,,,
535,7,25,,,,,
536,7,26,,,,,
537,7,27,,,,,
538,7,28,,,,,
539,7,29,,,,,
540,7,30,,,,,
541,7,31,,,,,
542,7,32,,,,,
543,7,33,,,,,
544,7,34,,,,,
545,7,35,,,,,
546,7,36,,,,,
547,7,37,,,,,
548,7,38,,,,,
549,7,39,,,,,
550,7,40,,,,,
551,7,41,,,,,
552,7,42,,,,,
553,7,43,,,,,
554,7,44,,,,,
555,7,45,,,,,
556,7,46,,,,,
557,7,47,,,,,
558,7,48,,,,,
559,7,49,,,,,
560,7,50,,,,,
561,7,51,,,,,
562,7,52,,,,,
563,7,53,,,,,
564,7,54,,,,,
565,7,55,,,,,
566,7,56,,,,,
567,7,57,,,,,
568,7,58,,,,,
569,7,59,,,,,
570,7,60,,,,,
571,7,61,,,,,
572,7,62,,,,,
573,7,63,,,,,
574,7,64,,,,,
575,7,65,,,,,
576,7,66,,,,,
577,7,67,,,,,
578,7,68,,,,,
579,7,69,,,,,
580,7,70,,,,,
581,7,71,,,,,
582,7,72,,,,,
583,7,73,,,,,
584,7,74,,,,,
585,7,75,,,,,
586,7,76,,,,,
587,7,77,,,,,
588,7,78,,,,,
589,7,79,,,,,
590,7,80,,,,,
591,7,81,,,,,
592,7,82,,,,,
593,7,83,,,,,
594,7,84,,,,,
595,7,85,,,,,
596,8,1,,,,,
597,8,2,,,,,
598,8,3,,,,,
599,8,4,,,,,
600,8,5,,,,,
601,8,6,,,,,
602,8,7,,,,,
603,8,8,,,,,
604,8,9,,,,,
605,8,10,,,,,
606,8,11,,,,,
607,8,12,,,,,
608,8,13,,,,,
609,8,14,,,,,
610,8,15,,,,,
611,8,16,,,,,
612,8,17,,,,,
613,8,18,,,,,
614,8,19,,,,,
615,8,20,,,,,
616,8,21,,,,,
617,8,22,,,,,
618,8,23,,,,,
619,8,24,,,,,
620,8,25,,,,,
621,8,26,,,,,
622,8,27,,,,,
623,8,28,,,,,
624,8,29,,,,,
625,8,30,,,,,
626,8,31,,,,,
627,8,32,,,,,
628,8,33,,,,,
629,8,34,,,,,
630,8,35,,,,,
631,8,36,,,,,
632,8,37,,,,,
633,8,38,,,,,
634,8,39,,,,,
635,8,40,,,,,
636,8,41,,,,,
637,8,42,,,,,
638,8,43,,,,,
639,8,44,,,,,
640,8,45,,,,,
641,8,46,,,,,
642,8,47,,,,,
643,8,48,,,,,
644,8,49,,,,,
645,8,50,,,,,
646,8,51,,,,,
647,8,52,,,,,
648,8,53,,,,,
649,8,54,,,,,
650,8,55,,,,,
651,8,56,,,,,
652,8,57,,,,,
653,8,58,,,,,
654,8,59,,,,,
655,8,60,,,,,
656,8,61,,,,,
657,8,62,,,,,
658,8,63,,,,,
659,8,64,,,,,
660,8,65,,,,,
661,8,66,,,,,
662,8,67,,,,,
663,8,68,,,,,
664,8,69,,,,,
665,8,70,,,,,
666,8,71,,,,,
667,8,72,,,,,
668,8,73,,,,,
669,8,74,,,,,
670,8,75,,,,,
671,8,76,,,,,
672,8,77,,,,,
673,8,78,,,,,
674,8,79,,,,,
675,8,80,,,,,
676,8,81,,,,,
677,8,82,,,,,
678,8,83,,,,,
679,8,84,,,,,
680,8,85,,,,,
681,9,1,,,,,
682,9,2,,,,,
683,9,3,,,,,
684,9,4,,,,,
685,9,5,,,,,
686,9,6,,,,,
687,9,7,,,,,
688,9,8,,,,,
689,9,9,,,,,
690,9,10,,,,,
691,9,11,,,,,
692,9,12,,,,,
693,9,13,,,,,
694,9,14,,,,,
695,9,15,,,,,
696,9,16,,,,,
697,9,17,,,,,
698,9,18,,,,,
699,9,19,,,,,
700,9,20,,,,,
701,9,21,,,,,
702,9,22,,,,,
703,9,23,,,,,
704,9,24,,,,,
705,9,25,,,,,
706,9,26,,,,,
707,9,27,,,,,
708,9,28,,,,,
709,9,29,,,,,
710,9,30,,,,,
711,9,31,,,,,
712,9,32,,,,,
713,9,33,,,,,
714,9,34,,,,,
715,9,35,,,,,
716,9,36,,,,,
717,9,37,,,,,
718,9,38,,,,,
719,9,39,,,,,
720,9,40,,,,,
721,9,41,,,,,
722,9,42,,,,,
723,9,43,,,,,
724,9,44,,,,,
725,9,45,,,,,
726,9,46,,,,,
727,9,47,,,,,
728,9,48,,,,,
729,9,49,,,,,
730,9,50,,,,,
731,9,51,,,,,
732,9,52,,,,,
733,9,53,,,,,
734,9,54,,,,,
735,9,55,,,,,
736,9,56,,,,,
737,9,57,,,,,
738,9,58,,,,,
739,9,59,,,,,
740,9,60,,,,,
741,9,61,,,,,
742,9,62,,,,,
743,9,63,,,,,
744,9,64,,,,,
745,9,65,,,,,
746,9,66,,,,,
747,9,67,,,,,
748,9,68,,,,,
749,9,69,,,,,
750,9,70,,,,,
751,9,71,,,,,
752,9,72,,,,,
753,9,73,,,,,
754,9,74,,,,,
755,9,75,,,,,
756,9,76,,,,,
757,9,77,,,,,
758,9,78,,,,,
759,9,79,,,,,
760,9,80,,,,,
761,9,81,,,,,
762,9,82,,,,,
763,9,83,,,,,
764,9,84,,,,,
765,9,85,,,,,
766,10,1,,,,,
767,10,2,,,,,
768,10,3,,,,,
769,10,4,,,,,
770,10,5,,,,,
771,10,6,,,,,
772,10,7,,,,,
773,10,8,,,,,
774,10,9,,,,,
775,10,10,,,,,
776,10,11,,,,,
777,10,12,,,,,
778,10,13,,,,,
779,10,14,,,,,
780,10,15,,,,,
781,10,16,,,,,
782,10,17,,,,,
783,10,18,,,,,
784,10,19,,,,,
785,10,20,,,,,
786,10,21,,,,,
787,10,22,,,,,
788,10,23,,,,,
789,10,24,,,,,
790,10,25,,,,,
791,10,26,,,,,
792,10,27,,,,,
793,10,28,,,,,
794,10,29,,,,,
795,10,30,,,,,
796,10,31,,,,,
797,10,32,,,,,
798,10,33,,,,,
799,10,34,,,,,
800,10,35,,,,,
801,10,36,,,,,
802,10,37,,,,,
803,10,38,,,,,
804,10,39,,,,,
805,10,40,,,,,
806,10,41,,,,,
807,10,42,,,,,
808,10,43,,,,,
809,10,44,,,,,
810,10,45,,,,,
811,10,46,,,,,
812,10,47,,,,,
813,10,48,,,,,
814,10,49,,,,,
815,10,50,,,,,
816,10,51,,,,,
817,10,52,,,,,
818,10,53,,,,,
819,10,54,,,,,
820,10,55,,,,,
821,10,56,,,,,
822,10,57,,,,,
823,10,58,,,,,
824,10,59,,,,,
825,10,60,,,,,
826,10,61,,,,,
827,10,62,,,,,
828,10,63,,,,,
829,10,64,,,,,
830,10,65,,,,,
831,10,66,,,,,
832,10,67,,,,,
833,10,68,,,,,
834,10,69,,,,,
835,10,70,,,,,
836,10,71,,,,,
837,10,72,,,,,
838,10,73,,,,,
839,10,74,,,,,
840,10,75,,,,,
841,10,76,,,,,
842,10,77,,,,,
843,10,78,,,,,
844,10,79,,,,,
845,10,80,,,,,
846,10,81,,,,,
847,10,82,,,,,
848,10,83,,,,,
849,10,84,,,,,
850,10,85,,,,,
851,11,1,,,,,
852,11,2,,,,,
853,11,3,,,,,
854,11,4,,,,,
855,11,5,,,,,
856,11,6,,,,,
857,11,7,,,,,
858,11,8,,,,,
859,11,9,,,,,
860,11,10,,,,,
861,11,11,,,,,
862,11,12,,,,,
863,11,13,,,,,
864,11,14,,,,,
865,11,15,,,,,
866,11,16,,,,,
867,11,17,,,,,
868,11,18,,,,,
869,11,19,,,,,
870,11,20,,,,,
871,11,21,,,,,
872,11,22,,,,,
873,11,23,,,,,
874,11,24,,,,,
875,11,25,,,,,
876,11,26,,,,,
877,11,27,,,,,
878,11,28,,,,,
879,11,29,,,,,
880,11,30,,,,,
881,11,31,,,,,
882,11,32,,,,,
883,11,33,,,,,
884,11,34,,,,,
885,11,35,,,,,
886,11,36,,,,,
887,11,37,,,,,
888,11,38,,,,,
889,11,39,,,,,
890,11,40,,,,,
891,11,41,,,,,
892,11,42,,,,,
893,11,43,,,,,
894,11,44,,,,,
895,11,45,,,,,
896,11,46,,,,,
897,11,47,,,,,
898,11,48,,,,,
899,11,49,,,,,
900,11,50,,,,,
901,11,51,,,,,
902,11,52,,,,,
903,11,53,,,,,
904,11,54,,,,,
905,11,55,,,,,
906,11,56,,,,,
907,11,57,,,,,
908,11,58,,,,,
909,11,59,,,,,
910,11,60,,,,,
911,11,61,,,,,
912,11,62,,,,,
913,11,63,,,,,
914,11,64,,,,,
915,11,65,,,,,
916,11,66,,,,,
917,11,67,,,,,
918,11,68,,,,,
919,11,69,,,,,
920,11,70,,,,,
921,11,71,,,,,
922,11,72,,,,,
923,11,73,,,,,
924,11,74,,,,,
925,11,75,,,,,
926,11,76,,,,,
927,11,77,,,,,
928,11,78,,,,,
929,11,79,,,,,
930,11,80,,,,,
931,11,81,,,,,
932,11,82,,,,,
933,11,83,,,,,
934,11,84,,,,,
935,11,85,,,,,
936,12,1,,,,,
937,12,2,,,,,
938,12,3,,,,,
939,12,4,,,,,
940,12,5,,,,,
941,12,6,,,,,
942,12,7,,,,,
943,12,8,,,,,
944,12,9,,,,,
945,12,10,,,,,
946,12,11,,,,,
947,12,12,,,,,
948,12,13,,,,,
949,12,14,,,,,
950,12,15,,,,,
951,12,16,,,,,
952,12,17,,,,,
953,12,18,,,,,
954,12,19,,,,,
955,12,20,,,,,
956,12,21,,,,,
957,12,22,,,,,
958,12,23,,,,,
959,12,24,,,,,
960,12,25,,,,,
961,12,26,,,,,
962,12,27,,,,,
963,12,28,,,,,
964,12,29,,,,,
965,12,30,,,,,
966,12,31,,,,,
967,12,32,,,,,
968,12,33,,,,,
969,12,34,,,,,
970,12,35,,,,,
971,12,36,,,,,
972,12,37,,,,,
973,12,38,,,,,
974,12,39,,,,,
975,12,40,,,,,
976,12,41,,,,,
977,12,42,,,,,
978,12,43,,,,,
979,12,44,,,,,
980,12,45,,,,,
981,12,46,,,,,
982,12,47,,,,,
983,12,48,,,,,
984,12,49,,,,,
985,12,50,,,,,
986,12,51,,,,,
987,12,52,,,,,
988,12,53,,,,,
989,12,54,,,,,
990,12,55,,,,,
991,12,56,,,,,
992,12,57,,,,,
993,12,58,,,,,
994,12,59,,,,,
995,12,60,,,,,
996,12,61,,,,,
997,12,62,,,,,
998,12,63,,,,,
999,12,64,,,,,
1000,12,65,,,,,
1001,12,66,,,,,
1002,12,67,,,,,
1003,12,68,,,,,
1004,12,69,,,,,
1005,12,70,,,,,
1006,12,71,,,,,
1007,12,72,,,,,
1008,12,73,,,,,
1009,12,74,,,,,
1010,12,75,,,,,
1011,12,76,,,,,
1012,12,77,,,,,
1013,12,78,,,,,
1014,12,79,,,,,
1015,12,80,,,,,
1016,12,81,,,,,
1017,12,82,,,,,
1018,12,83,,,,,
1019,12,84,,,,,
1020,12,85,,,,,
1021,13,1,,,,,
1022,13,2,,,,,
1023,13,3,,,,,
1024,13,4,,,,,
1025,13,5,,,,,
1026,13,6,,,,,
1027,13,7,,,,,
1028,13,8,,,,,
1029,13,9,,,,,
1030,13,10,,,,,
1031,13,11,,,,,
1032,13,12,,,,,
1033,13,13,,,,,
1034,13,14,,,,,
1035,13,15,,,,,
1036,13,16,,,,,
1037,13,17,,,,,
1038,13,18,,,,,
1039,13,19,,,,,
1040,13,20,,,,,
1041,13,21,,,,,
1042,13,22,,,,,
1043,13,23,,,,,
1044,13,24,,,,,
1045,13,25,,,,,
1046,13,26,,,,,
1047,13,27,,,,,
1048,13,28,,,,,
1049,13,29,,,,,
1050,13,30,,,,,
1051,13,31,,,,,
1052,13,32,,,,,
1053,13,33,,,,,
1054,13,34,,,,,
1055,13,35,,,,,
1056,13,36,,,,,
1057,13,37,,,,,
1058,13,38,,,,,
1059,13,39,,,,,
1060,13,40,,,,,
1061,13,41,,,,,
1062,13,42,,,,,
1063,13,43,,,,,
1064,13,44,,,,,
1065,13,45,,,,,
1066,13,46,,,,,
1067,13,47,,,,,
1068,13,48,,,,,
1069,13,49,,,,,
1070,13,50,,,,,
1071,13,51,,,,,
1072,13,52,,,,,
1073,13,53,,,,,
1074,13,54,,,,,
1075,13,55,,,,,
1076,13,56,,,,,
1077,13,57,,,,,
1078,13,58,,,,,
1079,13,59,,,,,
1080,13,60,,,,,
1081,13,61,,,,,
1082,13,62,,,,,
1083,13,63,,,,,
1084,13,64,,,,,
1085,13,65,,,,,
1086,13,66,,,,,
1087,13,67,,,,,
1088,13,68,,,,,
1089,13,69,,,,,
1090,13,70,,,,,
1091,13,71,,,,,
1092,13,72,,,,,
1093,13,73,,,,,
1094,13,74,,,,,
1095,13,75,,,,,
1096,13,76,,,,,
1097,13,77,,,,,
1098,13,78,,,,,
1099,13,79,,,,,
1100,13,80,,,,,
1101,13,81,,,,,
1102,13,82,,,,,
1103,13,83,,,,,
1104,13,84,,,,,
1105,13,85,,,,,
1106,14,1,,,,,
1107,14,2,,,,,
1108,14,3,,,,,
1109,14,4,,,,,
1110,14,5,,,,,
1111,14,6,,,,,
1112,14,7,,,,,
1113,14,8,,,,,
1114,14,9,,,,,
1115,14,10,,,,,
1116,14,11,,,,,
1117,14,12,,,,,
1118,14,13,,,,,
1119,14,14,,,,,
1120,14,15,,,,,
1121,14,16,,,,,
1122,14,17,,,,,
1123,14,18,,,,,
1124,14,19,,,,,
1125,14,20,,,,,
1126,14,21,,,,,
1127,14,22,,,,,
1128,14,23,,,,,
1129,14,24,,,,,
1130,14,25,,,,,
1131,14,26,,,,,
1132,14,27,,,,,
1133,14,28,,,,,
1134,14,29,,,,,
1135,14,30,,,,,
1136,14,31,,,,,
1137,14,32,,,,,
1138,14,33,,,,,
1139,14,34,,,,,
1140,14,35,,,,,
1141,14,36,,,,,
1142,14,37,,,,,
1143,14,38,,,,,
1144,14,39,,,,,
1145,14,40,,,,,
1146,14,41,,,,,
1147,14,42,,,,,
1148,14,43,,,,,
1149,14,44,,,,,
1150,14,45,,,,,
1151,14,46,,,,,
1152,14,47,,,,,
1153,14,48,,,,,
1154,14,49,,,,,
1155,14,50,,,,,
1156,14,51,,,,,
1157,14,52,,,,,
1158,14,53,,,,,
1159,14,54,,,,,
1160,14,55,,,,,
1161,14,56,,,,,
1162,14,57,,,,,
1163,14,58,,,,,
1164,14,59,,,,,
1165,14,60,,,,,
1166,14,61,,,,,
1167,14,62,,,,,
1168,14,63,,,,,
1169,14,64,,,,,
1170,14,65,,,,,
1171,14,66,,,,,
1172,14,67,,,,,
1173,14,68,,,,,
1174,14,69,,,,,
1175,14,70,,,,,
1176,14,71,,,,,
1177,14,72,,,,,
1178,14,73,,,,,
1179,14,74,,,,,
1180,14,75,,,,,
1181,14,76,,,,,
1182,14,77,,,,,
1183,14,78,,,,,
1184,14,79,,,,,
1185,14,80,,,,,
1186,14,81,,,,,
1187,14,82,,,,,
1188,14,83,,,,,
1189,14,84,,,,,
1190,14,85,,,,,
1191,15,1,,,,,
1192,15,2,,,,,
1193,15,3,,,,,
1194,15,4,,,,,
1195,15,5,,,,,
1196,15,6,,,,,
1197,15,7,,,,,
1198,15,8,,,,,
1199,15,9,,,,,
1200,15,10,,,,,
1201,15,11,,,,,
1202,15,12,,,,,
1203,15,13,,,,,
1204,15,14,,,,,
1205,15,15,,,,,
1206,15,16,,,,,
1207,15,17,,,,,
1208,15,18,,,,,
1209,15,19,,,,,
1210,15,20,,,,,
1211,15,21,,,,,
1212,15,22,,,,,
1213,15,23,,,,,
1214,15,24,,,,,
1215,15,25,,,,,
1216,15,26,,,,,
1217,15,27,,,,,
1218,15,28,,,,,
1219,15,29,,,,,
1220,15,30,,,,,
1221,15,31,,,,,
1222,15,32,,,,,
1223,15,33,,,,,
1224,15,34,,,,,
1225,15,35,,,,,
1226,15,36,,,,,
1227,15,37,,,,,
1228,15,38,,,,,
1229,15,39,,,,,
1230,15,40,,,,,
1231,15,41,,,,,
1232,15,42,,,,,
1233,15,43,,,,,
1234,15,44,,,,,
1235,15,45,,,,,
1236,15,46,,,,,
1237,15,47,,,,,
1238,15,48,,,,,
1239,15,49,,,,,
1240,15,50,,,,,
1241,15,51,,,,,
1242,15,52,,,,,
1243,15,53,,,,,
